,time,Power_original,Power_noise,PredictionGridUpper,PredictionGridLower
128,25843,150.0,227.31900234230744,18200.0,-18200.0
129,25903,150.0,0.0,18200.0,-18200.0
130,25963,267.5,429.9525222380337,18200.0,-18200.0
131,26023,202.5,248.8983326170809,18200.0,-18200.0
132,26083,114.99999999999986,199.12443688572034,18200.0,-18200.0
133,26143,0.0,221.6308717966601,18200.0,-18200.0
134,26203,0.0,0.0,18200.0,-18200.0
135,26263,150.0,35.24821430361311,18200.0,-18200.0
136,26323,150.0,0.0,18200.0,-18200.0
137,26383,150.0,0.0,18200.0,-18200.0
138,26443,50.000000000000036,245.60215651809918,18200.0,-18200.0
139,26503,0.0,142.15899133783432,18200.0,-18200.0
140,26563,0.0,533.921781770301,18200.0,-18200.0
141,26623,250.0,496.74345856703115,18200.0,-18200.0
142,26683,250.0,621.7057096815148,18200.0,-18200.0
143,26743,250.0,272.5242065653932,18200.0,-18200.0
144,26803,250.0,830.4082543166151,18200.0,-18200.0
145,26863,500.0,519.6914128758814,18200.0,-18200.0
146,26923,750.0,634.1850897619574,18200.0,-18200.0
147,26983,455.00000000000074,192.52143434362443,18200.0,-18200.0
148,27043,179.1666666666677,331.9332314549112,18200.0,-18200.0
149,27103,150.0,372.47282602884303,18200.0,-18200.0
150,27163,550.0,160.07118614578343,18200.0,-18200.0
151,27223,641.6666666666663,495.44571671524943,18200.0,-18200.0
152,27283,585.0,735.7630884739963,18200.0,-18200.0
153,27343,950.0,789.1308843940108,18200.0,-18200.0
154,27403,1020.0,1102.9081400898262,18200.0,-18200.0
155,27463,1030.0000000000005,1197.0440175185427,18200.0,-18200.0
156,27523,1200.0,1273.707181634162,18200.0,-18200.0
157,27583,1950.0,1412.5845516188845,18200.0,-18200.0
158,27643,2200.0,2307.9506032977283,18200.0,-18200.0
159,27703,2429.166666666667,2620.01526269761,18200.0,-18200.0
160,27763,1932.5,1849.9704613047072,18200.0,-18200.0
161,27823,2100.0,2160.491562402782,18200.0,-18200.0
162,27883,2657.5,2643.2030198326897,18200.0,-18200.0
163,27943,2787.5,3120.095680718569,18200.0,-18200.0
164,28003,2492.5000000000014,2423.6001667650085,18200.0,-18200.0
165,28063,1499.166666666666,1456.5248446692049,18200.0,-18200.0
166,28123,1345.833333333334,1282.5436682985185,18200.0,-18200.0
167,28183,1842.5,1891.3792808198984,18200.0,-18200.0
168,28243,1840.0000000000014,1520.8116185641543,18200.0,-18200.0
169,28303,2350.0,2258.2665526128385,18200.0,-18200.0
170,28363,2148.333333333334,2425.7842049548062,18200.0,-18200.0
171,28423,2350.0,2216.55853653601,18200.0,-18200.0
172,28483,2456.666666666666,2293.0332669890163,18200.0,-18200.0
173,28543,1748.333333333334,1843.274335601891,18200.0,-18200.0
174,28603,1962.5000000000011,2132.495849084515,18200.0,-18200.0
175,28663,2925.0,2876.125974496412,18200.0,-18200.0
176,28723,3277.5,3311.0058791770493,18200.0,-18200.0
177,28783,3400.0,3169.55459489949,18200.0,-18200.0
178,28843,4300.0,4107.458805236029,18200.0,-18200.0
179,28903,4212.5,4017.3868404621976,18200.0,-18200.0
180,28963,4110.833333333334,4116.570395008435,18200.0,-18200.0
181,29023,4597.500000000001,4592.491895984273,18200.0,-18200.0
182,29083,4242.5,4135.666328575332,18200.0,-18200.0
183,29143,4002.500000000001,4067.3137944125247,18200.0,-18200.0
184,29203,3975.000000000002,3975.0254508463863,18200.0,-18200.0
185,29263,3465.000000000003,3324.3828882016332,18200.0,-18200.0
186,29323,3400.0,3646.0545038099767,18200.0,-18200.0
187,29383,2725.833333333334,2952.988822098689,18200.0,-18200.0
188,29443,2608.333333333335,2523.141422965559,18200.0,-18200.0
189,29503,2466.6666666666674,2357.5063979876613,18200.0,-18200.0
190,29563,1947.4999999999998,1923.6672467017972,18200.0,-18200.0
191,29623,1562.5000000000005,1242.7439071905792,18200.0,-18200.0
192,29683,1475.0000000000002,1183.3122132264534,18200.0,-18200.0
193,29743,1085.0000000000005,862.4880881801507,18200.0,-18200.0
194,29803,900.0,1156.4882863287023,18200.0,-18200.0
195,29863,900.0,1185.8882307802191,18200.0,-18200.0
196,29923,700.0000000000006,974.0019413123634,18200.0,-18200.0
197,29983,650.0,164.0448645586173,18200.0,-18200.0
198,30043,467.50000000000085,778.7733148289603,18200.0,-18200.0
199,30103,347.5,718.0381954838224,18200.0,-18200.0
200,30163,250.0,179.7230204218468,18200.0,-18200.0
201,30223,150.00000000000085,0.0,18200.0,-18200.0
202,30283,0.0,0.0,18200.0,-18200.0
203,30343,0.0,0.0,18200.0,-18200.0
204,30403,0.0,136.17501188773971,18200.0,-18200.0
205,30463,0.0,0.0,18200.0,-18200.0
206,30523,0.0,0.0,18200.0,-18200.0
