,btms_size,cost_a,cost_b,cost_c,cost_total,share_cost_a,share_cost_b,share_cost_c,E_Charge,c_rate,use_rate,btms_ratio,load_factor
18,326.21741811872977,204.14651134081134,12.648892639403655,7.485077037353516,224.2804810175685,0.9102286138079934,0.056397652537640286,0.033373733654366425,843.5416666666667,1.7234739255749012,2.2829977675296402,0.8828889748117678,0.9999999949299756
189,293.21302916150177,138.81661660754546,8.601060427149605,7.420963844758189,154.83864087945324,0.8965243806009545,0.05554853994001279,0.04792707945903273,892.5416666666667,1.910578144323061,2.519793654608751,0.8277891754780032,0.9999999789296649
202,190.5710847366168,99.20138658362082,6.146505665636377,3.169918188516633,108.51781043777383,0.9141484350212242,0.056640524176083513,0.029211040802692236,338.08333333333337,1.4944658286687373,1.6542101842839043,0.9324465246280771,0.9999999900154334
203,438.06763650662816,276.59433036962236,17.13775056225359,7.718281161745062,301.450362093621,0.917545192013141,0.05685098681994996,0.02560382116690909,917.0416666666666,1.961070585061374,1.7539413954842067,0.8378517461302961,0.9999999995803687
207,111.67918055321056,33.68750287826571,2.0872735193863687,2.394957368848903,38.16973376650098,0.8825710727862339,0.0546839947104433,0.06274493250332275,251.91666666666666,2.5847612434015605,2.1324191307236213,0.9453396802455982,0.9999999996736029
21,566.7373136547288,269.0817885583419,16.672274399100953,9.922459344572271,295.6765223020151,0.9100546315391644,0.05638687261774294,0.03355849584309267,1159.9166666666667,0.43792574153604735,1.6310428473560905,0.796930390200173,0.9999999573197829
210,305.2741612288795,188.27169729407296,11.665291120921331,8.174930688631461,208.11191910362575,0.9046656150449812,0.056052969821074015,0.0392814151339448,898.6666666666669,0.8506748251738177,2.4560758549079154,0.8343210272865544,0.9999999874956209
216,424.27537390323215,96.22572783076775,5.96213421667488,10.808939676847258,112.9968017242899,0.8515792160698207,0.05276374309444949,0.09565704083572976,1266.5,1.2808586451197088,2.386917569049867,0.7996133786694247,0.9999999611328438
253,296.47574403489097,163.50117288203677,10.130512486441003,4.543274507008327,178.1749598754861,0.917643943886931,0.0568571054738584,0.025498950639210476,487.08333333333337,1.4440039168170031,1.5174056380521748,0.9236077992354291,0.9999999823883274
258,503.0649888631025,191.8019429041657,11.884024703089887,7.222387244645747,210.90835485190135,0.9094089375399469,0.056346865497266724,0.034244196962786355,856.1666666666666,0.8185663703996355,1.42916583497018,0.8397468890630331,0.9999999926096722
268,492.46735483432906,206.954360146499,12.82286660475606,7.462920942417145,227.2401476936722,0.910729737887166,0.056428702123718644,0.03284155998911525,878.0833333333331,1.1387448751241094,1.5084317410472952,0.8459941798937495,0.9999999986430641
270,127.6767896603963,75.4539170670084,4.675115386173434,2.9568108359624827,83.08584328914432,0.9081440842385592,0.056268495342867465,0.03558742041857338,311.54166666666663,2.2398957027760606,2.3028463782551123,0.943758296610994,0.9999999962686044
276,198.791518727948,116.49564414249157,7.218055728890483,5.197137645225866,128.91083751660793,0.9036916242785493,0.055992621473431675,0.04031575424801895,584.7500000000001,1.3773860726443319,2.6012145755048355,0.8843085010720491,0.9999999965078158
290,393.6217351982679,185.0220831683192,11.463945430876558,8.15367380926376,204.6397024084595,0.9041358103571532,0.05602014318802418,0.03984404645482273,1008.2500000000001,1.0292299652752888,2.0629247593247206,0.8053677394980071,0.9999999968961439
299,165.40821771882656,59.81945223273816,3.706405875222893,3.6209475099555606,67.14680561791661,0.8908756221871065,0.05519854356606835,0.05392583424682517,393.875,3.369354904792045,2.1774136676569933,0.9144071444081413,0.9999999924073367
301,112.27458592253286,70.72940487375809,4.3823851939527545,1.9481617103542384,77.05995177806508,0.9178490674048284,0.056869814901703446,0.02528111769346808,199.83333333333334,2.59177896170609,1.7250308262781204,0.9691932696779684,0.9999999960961199
