time,ChargingStationID,BaysVehicleIds,BaysChargingPower,TotalChargingPower,BaysChargingDesire,BaysNumberOfVehicles,QueueVehicleIds,QueueChargingDesire,QueueNumberOfVehicles,BtmsPower,BtmsSoc,BtmsEnergy,TotalChargingPowerDesire,GridPower,GridPowerUpper,GridPowerLower,PowerDesire,BtmsPowerDesire,EnergyLagSum,TimeLagSum
5820,435,[],"[0, 0]",0.0,"[nan, nan]",0,[],[],0,150.00000011847547,0.5306485315879435,79.59727971824516,0.0,150.00000011847547,210.0,0,0.0,300.0,0.0,0.0
5880,435,[],"[0, 0]",0.0,"[nan, nan]",0,[],[],0,150.00000010305013,0.5448151982693495,81.72227971992356,0.0,150.00000010305013,210.0,0,0.0,300.0,0.0,0.0
5940,435,[],"[0, 0]",0.0,"[nan, nan]",0,[],[],0,150.00000011278647,0.5589818649492988,83.84727972138344,0.0,150.00000011278647,210.0,0,0.0,300.0,0.0,0.0
6000,435,[],"[0, 0]",0.0,"[nan, nan]",0,[],[],0,150.00000010336927,0.5731485316301675,85.97227972298126,0.0,150.00000010336927,210.0,0,0.0,300.0,0.0,0.0
6060,435,[],"[0, 0]",0.0,"[nan, nan]",0,[],[],0,150.00000011259667,0.5873151983101469,88.09727972444566,0.0,150.00000011259667,210.0,0,0.0,300.0,0.0,0.0
6120,435,[],"[0, 0]",0.0,"[nan, nan]",0,[],[],0,150.00000010297197,0.6014818649909978,90.22227972604078,0.0,150.00000010297197,210.0,0,0.0,300.0,0.0,0.0
6180,435,[],"[0, 0]",0.0,"[nan, nan]",0,[],[],0,150.000000113922,0.6156485316709397,92.34727972749955,0.0,150.000000113922,210.0,0,0.0,300.0,0.0,0.0
6240,435,[],"[0, 0]",0.0,"[nan, nan]",0,[],[],0,150.00000011320813,0.6298151983519157,94.47227972911345,0.0,150.00000011320813,210.0,0,0.0,300.0,0.0,0.0
6300,435,[],"[0, 0]",0.0,"[nan, nan]",0,[],[],0,150.00000010796325,0.6439818650328243,96.59727973071723,0.0,150.00000010796325,210.0,0,0.0,300.0,0.0,0.0
6360,435,[],"[0, 0]",0.0,"[nan, nan]",0,[],[],0,150.00000010595176,0.6581485317132375,98.72227973224672,0.0,150.00000010595176,210.0,0,0.0,300.0,0.0,0.0
6420,435,[],"[0, 0]",0.0,"[nan, nan]",0,[],[],0,150.000000117711,0.6723151983934608,100.8472797337477,0.0,150.000000117711,210.0,0,0.0,300.0,0.0,0.0
6480,435,[],"[0, 0]",0.0,"[nan, nan]",0,[],[],0,150.000000120907,0.6864818650747947,102.97227973541527,0.0,150.000000120907,210.0,0,0.0,300.0,0.0,0.0
6540,435,[],"[0, 0]",0.0,"[nan, nan]",0,[],[],0,150.000000117817,0.7006485317564304,105.09727973712812,0.0,150.000000117817,210.0,0,0.0,300.0,0.0,0.0
6600,435,[],"[0, 0]",0.0,"[nan, nan]",0,[],[],0,150.00000012133,0.7148151984377742,107.2222797387972,0.0,150.00000012133,210.0,0,0.0,300.0,0.0,0.0
6660,435,[],"[0, 0]",0.0,"[nan, nan]",0,[],[],0,150.00000012314274,0.72898186511945,109.34727974051604,0.0,150.00000012314274,210.0,0,0.0,300.0,0.0,0.0
6720,435,[],"[0, 0]",0.0,"[nan, nan]",0,[],[],0,150.0000001235218,0.7431485318012968,111.47227974226057,0.0,150.0000001235218,210.0,0,0.0,300.0,0.0,0.0
6780,435,[],"[0, 0]",0.0,"[nan, nan]",0,[],[],0,150.00000012451838,0.7573151984831794,113.59727974401046,0.0,150.00000012451838,210.0,0,0.0,300.0,0.0,0.0
6840,435,[],"[0, 0]",0.0,"[nan, nan]",0,[],[],0,150.00000012481536,0.7714818651651563,115.72227974577447,0.0,150.00000012481536,210.0,0,0.0,300.0,0.0,0.0
6900,435,[],"[0, 0]",0.0,"[nan, nan]",0,[],[],0,149.88408475563628,0.785648531847161,117.84727974754269,0.0,149.88408475563628,210.0,0,0.0,300.0,0.0,0.0
6960,435,[],"[0, 0]",0.0,"[nan, nan]",0,[],[],0,149.0600778544468,0.7998042509665184,119.9706376149142,0.0,149.0600778544468,210.0,0,0.0,300.0,0.0,0.0
7020,435,[],"[0, 0]",0.0,"[nan, nan]",0,[],[],0,147.5358149163876,0.813882147211855,122.08232205118553,0.0,147.5358149163876,210.0,0,0.0,300.0,0.0,0.0
7080,435,[],"[0, 0]",0.0,"[nan, nan]",0,[],[],0,145.32239906898374,0.8278160852907834,124.17241276250103,0.0,145.32239906898374,210.0,0,0.0,300.0,0.0,0.0
7140,435,[],"[0, 0]",0.0,"[nan, nan]",0,[],[],0,142.43413033100603,0.8415409785396268,126.23114674931163,0.0,142.43413033100603,210.0,0,0.0,300.0,0.0,0.0
7200,435,[],"[0, 0]",0.0,"[nan, nan]",0,[],[],0,138.8884202718067,0.8549930908520373,128.24896359566756,0.0,138.8884202718067,210.0,0,0.0,300.0,0.0,0.0
7260,435,[],"[0, 0]",0.0,"[nan, nan]",0,[],[],0,134.705692387972,0.8681103305476617,130.21654954951816,0.0,134.705692387972,210.0,0,0.0,300.0,0.0,0.0
7320,435,[],"[0, 0]",0.0,"[nan, nan]",0,[],[],0,129.90926867002156,0.8808325348319359,132.1248801916811,0.0,129.90926867002156,210.0,0,0.0,300.0,0.0,0.0
7380,435,[],"[0, 0]",0.0,"[nan, nan]",0,[],[],0,124.52524335817677,0.8931017435427347,133.96526149783972,0.0,124.52524335817677,210.0,0,0.0,300.0,0.0,0.0
7440,435,[],"[0, 0]",0.0,"[nan, nan]",0,[],[],0,118.58234402132175,0.9048624609739541,135.72936911208055,0.0,118.58234402132175,210.0,0,0.0,300.0,0.0,0.0
7500,435,[],"[0, 0]",0.0,"[nan, nan]",0,[],[],0,112.11178093626252,0.9160619045787742,137.4092856523826,0.0,112.11178093626252,210.0,0,0.0,300.0,0.0,0.0
7560,435,[],"[0, 0]",0.0,"[nan, nan]",0,[],[],0,105.1470861994073,0.9266502394476303,138.997535882313,0.0,105.1470861994073,210.0,0,0.0,300.0,0.0,0.0
7620,435,[],"[0, 0]",0.0,"[nan, nan]",0,[],[],0,97.72394140352817,0.936580797591174,140.48711960347129,0.0,97.72394140352817,210.0,0,0.0,300.0,0.0,0.0
7680,435,[],"[0, 0]",0.0,"[nan, nan]",0,[],[],0,89.87999782540328,0.9458102809482645,141.87154210668794,0.0,89.87999782540328,210.0,0,0.0,300.0,0.0,0.0
7740,435,[],"[0, 0]",0.0,"[nan, nan]",0,[],[],0,81.65468694144027,0.9542989474116796,143.14484207588114,0.0,81.65468694144027,210.0,0,0.0,300.0,0.0,0.0
7800,435,[],"[0, 0]",0.0,"[nan, nan]",0,[],[],0,73.08902431351241,0.9620107789580815,144.30161680755154,0.0,73.08902431351241,210.0,0,0.0,300.0,0.0,0.0
