,time,time_x,P_Grid,P_BTMS,E_BTMS,E_Shift,P_Charge,P_Shift,P_BTMS_Ch,P_BTMS_DCh,t_wait,"param: btms size, a,b,c",d
69,22303.0,22303,768.666513931546,670.543750074516,942.8306736468993,3.8628874072184794e-10,98.12276385702393,-6.057589264962915e-12,670.5437500952451,-2.0728986164317293e-08,1.0219092930562146e-14,0.0,10.0
70,22363.0,22363,728.4875685219571,699.528054436065,953.4476163563769,3.8618786018713066e-10,28.959514085895275,3.21799391512539e-12,699.5280544567512,-2.068612655302557e-08,1.0994001688801084e-14,0.0,10.0
71,22423.0,22423,759.0124560602442,688.9155749862667,964.5234772182458,3.862415686411251e-10,70.09688107396418,-1.3289107730026332e-11,688.9155750069491,-2.0682347664220213e-08,8.652132248182282e-15,0.0,10.0
72,22483.0,22483,748.0899767727902,702.1463476796685,975.4313071554931,3.860201609785863e-10,45.9436290931346,1.2847773289022758e-11,702.1463477003401,-2.0671750798446947e-08,1.126653495318144e-14,0.0,10.0
73,22543.0,22543,839.4964738561274,652.8030743432923,986.5486243270524,3.862343663564799e-10,186.69339951282308,-1.2059579135615265e-11,652.8030743640123,-2.0719995525623362e-08,8.808549324683679e-15,0.0,10.0
74,22603.0,22603,875.3412499969289,634.3122395600593,996.8846730041193,3.8603345692883117e-10,241.02901043698404,1.143116306797887e-10,634.3122395808351,-2.07758579119073e-08,2.8291256265371776e-14,0.0,10.0
75,22663.0,22663,1042.6731778483565,519.3555391442821,1006.9279501304514,3.879387390035336e-10,523.3176387039173,-1.5707942286221986e-10,519.3555391651242,-2.084207876566926e-08,-1.8769220023882194e-15,0.0,10.0
76,22723.0,22723,1012.0815379397517,548.3028044302634,1015.1510795002001,3.853208523755539e-10,463.7787335094937,5.375334700932885e-12,548.302804451103,-2.0839623409914904e-08,4.484606043745704e-15,0.0,10.0
77,22783.0,22783,960.3005374032477,594.7312032981757,1023.8325405703104,3.854105428318977e-10,365.5693341051111,3.913335917599796e-11,594.7312033189495,-2.077373052873808e-08,1.083950817979853e-14,0.0,10.0
78,22843.0,22843,942.8030605825463,614.1968717639958,1033.2491179558292,3.860628602632083e-10,328.60618881867015,1.195188067721198e-10,614.196871784753,-2.0757117935144507e-08,2.937168965226893e-14,0.0,10.0
79,22903.0,22903,1053.8822737081523,532.1738427342052,1042.9739017587237,3.8805493383105507e-10,521.7084309738343,-1.1285434082596561e-10,532.1738427549883,-2.0783206819228238e-08,6.405943049230463e-15,0.0,10.0
80,22963.0,22963,1041.1623970290739,548.9766204345028,1051.3999876019798,3.8617413223702354e-10,492.18577659450534,-6.560711119270822e-11,548.9766204552636,-2.076080922304912e-08,-6.109741042495927e-16,0.0,10.0
81,23023.0,23023,934.1524122737744,644.8554631708668,1060.0921174254904,3.8508078306125487e-10,289.2969491029627,5.5050391348769144e-11,644.8554631915304,-2.0663676379190536e-08,1.0895814868418797e-14,0.0,10.0
82,23083.0,23083,857.5114064924703,714.0116384432473,1070.3023289256605,3.8599837977165626e-10,143.49976804926774,4.480423193627664e-11,714.0116384638214,-2.0574123402425514e-08,1.6467510624168888e-14,0.0,10.0
83,23143.0,23143,927.2395005127894,668.7071437378053,1081.6075132009769,3.86745197592936e-10,258.53235677498924,5.329953990588685e-12,668.7071437584061,-2.060074970770719e-08,1.5746994415037308e-14,0.0,10.0
