,btms_size,cost_a,cost_b_sys,cost_b_cap,cost_b_loan,cost_b,cost_c,cost_total,share_cost_a,share_cost_b_sys,share_cost_b_cap,share_cost_b_loan,share_cost_b,share_cost_c,E_Charge,c_rate,cycles_day,btms_ratio,load_factor,btms_peak_to_grid_ratio
328,275.8640532899436,13.9703837939064,25.025214525952585,10.825344156734841,4.368828295367867,35.85055868268743,8.417787616294229,58.238730092888055,0.23988132590845113,0.4297005529831872,0.18587878100138727,0.07501585780458794,0.6155793339845745,0.14453934010697436,439.41666666666663,2.09796589207655,1.4409511956868344,0.9046234874306716,0.9999999975418665,27.23977878982239
333,140.6530946838526,13.404938224131477,12.090440767713755,10.388189365029659,4.192403953027761,22.47863013274341,8.077856050249006,43.96142440712389,0.3049250201719857,0.27502386309745036,0.23630238339925733,0.09536551669031879,0.5113262464967077,0.1837487333313067,421.62500000000006,1.987964244560063,2.712022187220783,0.9047241351529767,0.9999999996986383,13.715492953036625
351,392.65771828347135,22.92438600538819,24.43639379377843,17.072722354907913,6.890108196391838,41.509116148686346,13.275748903185013,77.70925105725955,0.29500201962436245,0.31445926271728747,0.21969999868262777,0.08866522457300363,0.5341592613999152,0.17083871897572228,725.5277777777778,1.4392581714376682,1.5965823048448597,0.8640749314827266,0.9999999987411139,16.209645128683935
359,312.9822091076485,24.376481003984356,24.340903127710124,18.279303835373877,7.377053205825747,42.620206963084,14.439841532670092,81.43652949973844,0.29933103919983045,0.29889416060870205,0.22446074197492155,0.09058653716142755,0.5233549025836236,0.17731405821654606,768.7916666666666,1.7985924399917854,2.13856856216926,0.8706310720276224,0.9999999990608952,15.18447502284604
390,584.6357799521554,49.293696657440556,22.702331668726508,32.20338682962397,12.996452172877024,54.90571849835048,26.091418605193574,130.2908337609846,0.37833587547585007,0.17424350595816576,0.2471654060384655,0.09974955104454011,0.4214089119966313,0.20025521252751866,1580.5416666666663,0.8980505860320023,2.007673602801392,0.7426301042341893,0.9999998484735396,7.0034685138588495
401,338.1194739979947,23.857096140931365,24.37505819785191,17.777881846251532,7.174692288493204,42.152940044103445,14.05151558955214,80.06155177458695,0.2979844333782206,0.3044539814376795,0.22205267637461118,0.08961470430517669,0.5265066578122907,0.17550890880948872,753.0833333333333,1.6672134446907907,1.9250844230156952,0.8643247084366051,0.9999999985806348,15.536821816892619
411,212.56444480319757,12.355466850363472,12.159454659414752,9.663532975238036,3.899951418096468,21.82298763465279,7.514363241605055,41.692817726621314,0.29634521061584124,0.29164386871484604,0.2317793208077603,0.09354012587175912,0.5234231895226064,0.1802315998615525,388.0416666666667,1.3229371192359187,1.6693522342307738,0.9144505895421244,0.999999993503673,14.965424570676458
42,193.72501751646573,10.17066646878173,12.303128483034964,8.187478018734154,3.3042538988189665,20.49060650176912,6.366582907415818,37.027855877966665,0.2746760844673634,0.3322668350979488,0.22111671941572217,0.08923697633772942,0.5533835545136709,0.17194036101896568,317.91666666666663,1.4687422155838628,1.551912069498016,0.9456698071219432,0.9999999899212366,18.395019451007744
421,338.0382297037849,29.67544496554306,23.992439974598124,21.461144357401157,8.661161563279913,45.45358433199928,16.688185852335955,91.81721514987831,0.32320131815261655,0.261306552757388,0.23373769638263311,0.09433047549026423,0.49504424914002115,0.18175443270736222,943.3333333333335,1.6414374036960295,2.331254726703994,0.8353921068589387,0.9999999978060177,12.294511620747253
435,248.8570611085382,29.390577616352306,17.525194123832165,20.256344255084617,8.17493547189159,37.78153837891678,15.751333292781409,82.92344928805049,0.3544302349780278,0.2113418372522716,0.24427763713398273,0.09858412236922738,0.4556194743862543,0.18995029063571794,940.7500000000001,1.628653123517653,2.9889164395543,0.7906595387153641,0.9999999974612205,9.067526226500771
437,210.34969459781243,22.615901970529904,24.456679895558775,16.892393957895084,6.817332329692223,41.34907385345386,13.135525541783835,77.1005013657676,0.2933301544076768,0.3172051992182955,0.2190957731617976,0.08842137481506832,0.5363009723800931,0.17036887321223013,715.4444444444445,2.688879503794443,2.9488452898344324,0.8669977256089197,0.9999999826178074,16.44438707190519
446,414.0853319655374,30.64077598150926,10.957001419152867,21.043451428270362,8.492591524199318,32.00045284742323,16.363387831528033,79.00461666046053,0.38783525921269435,0.13868811573686834,0.2663572373081583,0.10749487666901887,0.4050453530450267,0.20711938774227892,981.25,0.6119523378603309,1.8660780201286093,0.7874808014660363,0.9999999109668494,5.437835464159963
458,615.7015463750022,38.410328019088844,23.418028655252797,26.387264967606246,10.649216150428497,49.80529362285904,20.518737238930523,108.7343588808784,0.3532492251245851,0.2153691702997754,0.24267642021519847,0.09793791272632617,0.45804559051497384,0.1887051843604411,1230.0138888888896,0.8796214594840746,1.5737176158062742,0.7877475029853355,0.9999999916510998,9.271210070514549
469,192.0487913953518,15.916449204024579,11.925282250695062,12.282193816543483,4.956775054724179,24.207476067238545,9.550633911837698,49.674559183100826,0.32041450323406834,0.2400682048679763,0.24725320201174242,0.0997849832235746,0.4873214068797187,0.19226408988621288,500.95833333333337,1.4360607610022742,2.3483727945689874,0.9002787795579115,0.9999999846582232,11.393484969934761
488,204.95012862239284,11.704199935660846,18.68826127569584,9.277772229924148,3.7442683806827333,27.96603350561999,7.778795411185547,47.449028852466384,0.24666890384738538,0.3938597212137553,0.19553134077351916,0.07891138072234975,0.5893910619872745,0.1639400341653401,362.0833333333333,2.108805032261852,1.6393083893034572,0.9278981778766707,0.9999999995548677,24.280703729252746
500,309.6318345011278,22.854809706501026,11.469011365734557,17.066893401670114,6.887755781958729,28.535904767404674,13.271216309155193,64.6619307830609,0.35345077744706266,0.17736883552414778,0.2639403617397244,0.10651948833799862,0.44130919726387224,0.20524002528906507,723.0277777777777,0.8566355717553833,2.0240048208186034,0.8667665959326469,0.9999999984092641,7.631018000696159
519,392.4978376628269,32.81586150834625,23.785924238657046,23.262160946529733,9.388005174077882,47.04808518518678,18.088656352210254,97.95260304574327,0.3350177584665253,0.2428309559833664,0.2374838465055027,0.09584232457501655,0.4803148024888691,0.1846674390446057,1046.2083333333333,1.4015173873578053,2.1762834543022005,0.8164593252984997,0.9999999850852616,11.022251735300621
533,412.4984288046098,24.46912927592627,24.334810519468935,18.086021777937592,7.2990495775541016,42.42083229740653,14.063690534745882,80.95365210807869,0.3022609683286222,0.30060176268490385,0.2234120550088526,0.09016331428518344,0.5240138176937564,0.17372521397762128,775.3055555555552,1.3643361847276363,1.6099909073801582,0.8565896567168804,0.999999980464456,15.12319521048909
546,434.3183434285446,40.534815976641006,24.57551679903062,27.774551357838135,11.209088977349493,52.35006815686876,21.774197737311614,114.65908187082137,0.3535246865338486,0.2143355449742585,0.24223594768646275,0.09776014943132037,0.4565714926607213,0.18990382080543022,1297.0416666666667,1.3086099389716612,2.344844481603692,0.7851782999885739,0.9999999869104488,9.219525252157467
56,252.08262515583976,12.394289249356378,25.12885947937357,9.856335959976501,3.9777617050454284,34.98519543935007,7.664286842570368,55.04377153127682,0.22517151177247602,0.45652503054037497,0.17906360130820545,0.07226542793829445,0.6355886318485804,0.1392398563789436,388.20833333333326,2.3053963017469825,1.43573820776351,0.9322949184060949,0.999999985748314,30.830832733489025
562,407.79080740430976,22.037798825179802,37.4666541249591,16.414000821259418,6.624265260287007,53.88065494621851,12.763527038624142,88.68198081002247,0.24850368275365792,0.4224832799486226,0.18508834231411728,0.07469685723955279,0.6075716222627399,0.14392469498360214,697.4583333333334,2.1248251927763357,1.4780178935200066,0.8641693436738738,0.9999999981591046,25.85299138146726
576,207.12127332587517,25.165016695886038,17.80306962710609,17.999263406166833,7.26403614759157,35.80233303327292,13.996227224864633,74.9635769540236,0.33569658383991147,0.2374895962878747,0.24010678435483515,0.09690087430121863,0.4775963806427098,0.1867070355173787,801.2499999999999,1.987860528103836,3.191043303565709,0.8248773195289073,0.9999999790218308,10.758005748009145
582,564.8625539348053,23.483554957105984,24.3996224978375,17.96751669680417,7.251223998606714,42.367139194641666,13.971540983510916,79.82223513525857,0.29419816317236874,0.3056745085688518,0.22509413155818378,0.09084215677899189,0.5307686401270355,0.17503319670059572,740.125,0.9989782875891277,1.1680137203468541,0.8914267361675628,0.9999999943350033,15.79986478524913
594,352.3008312874494,18.306824146531632,11.768089721779145,14.021607717871204,5.658757417543473,25.789697439650347,10.903202162117314,54.99972374829929,0.3328530199589906,0.21396634236991127,0.2549396026430911,0.10288701527738954,0.46890594501300237,0.1982410350280071,576.8750000000001,0.7725169731217336,1.4614596097115007,0.8925216648223496,0.9999999458004561,9.77523182217769
60,117.25633491168703,4.7992565118145905,12.656355727899992,3.9366586611524625,1.5887333925866918,16.593014389052456,3.0611457749135216,24.453416675780566,0.19626118408917168,0.5175700351286798,0.1609860377937065,0.06496979189661554,0.6785560729223863,0.12518274298844204,149.54166666666666,2.4962500400771623,1.2328042331050173,0.9666476859571407,0.9999999996059441,40.10225687825683
